Наименование;Производитель ;Цена;Ссылка
 энд Сие ГмбХ ;2 647;/product/essencziale-forte-n-03-n180-kaps-5e3271cf65b5ab0001655c0c/
НАБОР Витамин Д АКВАДЕТРИМ 15000МЕ/МЛ 10МЛ закажи 4 упаковки по цене 3 упаковок;NoData;567;/product/612e45f3ee6d4f17449752ae/
Набор Компливит №60 + Компливит Аква Д3 20 мл - со скидкой 20%;КОМПЛИВИТ ;439;/product/615566a2b056b0d721cf31cb/
ГЕПТРАЛ;Биолоджичи Италия Лабораториз С.Р.Л. ;1 754;/product/geptral-04-n5-flak-liofil-dr-ra-vv-vm-5e326e5af5a9ae000140b27a/
ОМЕПРАЗОЛ;ПРОИЗВОДСТВО МЕДИКАМЕНТОВ, ООО ;30;/product/omeprazol-002-n30-kaps-5e3266e4ca7bdc000192c123/
ГЕПТРАЛ;ЭббВи С.р.Л. ;1 623;/product/geptral-04-n20-tabl-pkishechnorastvorobolochkoj-5e32724065b5ab0001655dde/
Набор Компливит №60 + КомпливитСуперЭнергия с Женьшенем - со скидкой 20%;КОМПЛИВИТ ;457;/product/61556531d3123dd37d235086/
Набор Витамины для всей семьи от КОМПЛИВИТ  - со скидкой 20%;КОМПЛИВИТ ;368;/product/615550613b0afc01bb0a9d11/
Набор Витамины для всей семьи от КОМПЛИВИТ. Выгодное предложение!;КОМПЛИВИТ ;368;/product/61554ffbfe0f21922126ba04/
Набор: скидка 15% на  Компливит Аква Д3 20 мл при заказе в комплекте с Арбидол 100мг №20;Фармстандарт-Лексредства ОАО ;784;/product/615567d86126e8b873b3abdd/
РЕДУКСИН;Биохимик АО ;2 245;/product/reduksin-00101585-n30-kaps-5e32721065b5ab0001655d04/
Набор: скидка 33% на Компливит Аква Д3 20 мл при заказе в комплекте с Компливит с пониж. содержанием сахара;КОМПЛИВИТ ;443;/product/61556739df762e5026d05060/
АКВАДЕТРИМ;ПОЛЬФАРМА Фармацевтический завод, АО Отдел Медана в Серадзе ;189;/product/akvadetrim-15000meml-10ml-flak-kapli-dvn-60f1200cc1503c6903f0694f/
Набор против насморка и боли в горле (Гексорал® и Тизин®);NoData;396;/product/612cb153081e53dcd69608b6/
СУГЛАТ;Астеллас Фарма Тех Ко. Лтд./Астеллас Фарма Юроп Б.В. ;2 184;/product/suglat-005-n30-tabl-pplenoboloch-5e327025ca7bdc0001930aa1/
Набор из 2-х упаковок Аципол капс.  по специальной цене;ЛЕККО  ЗАО ;720;/product/612dedf4ca44b7119951be7a/
НАБОР ДЮСПАТАЛИН 0,2 N30 КАПС ПРОЛОНГ  закажи 2 упаковки со скидкой 15%;NoData;977;/product/61556bc2db4def5190a9265c/
ТРЕКРЕЗАН;Фармпроект АО ;905;/product/trekrezan-02-n20-tabl-603cb501e84db7dc3ca70c1b/
Набор Витамины от КОМПЛИВИТ. Выгодное предложение!;КОМПЛИВИТ ;448;/product/615554ea7c49b809d6327037/
Противопростудный набор (Доктор Мом®, Гексорал®, Ринза®);NoData;867;/product/6153fe15fc19e84afe7bc66e/
АСКОРБИНОВАЯ К-ТА С ГЛЮКОЗОЙ;Фармстандарт-Уфимский витаминный завод,ОАО ;62;/product/askorbinovaya-k-ta-s-glyukozoj-01-n40-tabl-5e3270c165b5ab000165545a/
Противопростудный детский набор (Доктор Мом®, Тизин®, Гексорал®, Ринзасип®);NoData;1 021;/product/6153fd6199175270acf6e437/
МИЛЬГАММА;Солюфарм Фармацойтише Эрцойгниссе ГмбХ ;374;/product/milgamma-2ml-n25-amp-r-r-vm-5e327a0d65b5ab0001659e5e/
Набор Компливит с пониж. содержанием сахара + КомпливитСуперЭнергия с гуараной - со скидкой 20%;КОМПЛИВИТ ;444;/product/6155659c24738502f45da494/
УНДЕВИТ;Алтайвитамины АО ;48;/product/undevit-n50-drazhe-altajvitaminy-601cf1a30d5906258f2f3d0f/
ЭССЕНЦИАЛЕ ФОРТЕ Н 0,3 N180 КАПС;А.Наттерманн энд Сие ГмбХ ;2 647;/product/essencziale-forte-n-03-n180-kaps-5e3271cf65b5ab0001655c0c/
НАБОР Витамин Д АКВАДЕТРИМ 15000МЕ/МЛ 10МЛ закажи 4 упаковки по цене 3 упаковок;NoData;567;/product/612e45f3ee6d4f17449752ae/
Набор Компливит №60 + Компливит Аква Д3 20 мл - со скидкой 20%;КОМПЛИВИТ ;439;/product/615566a2b056b0d721cf31cb/
ГЕПТРАЛ;Биолоджичи Италия Лабораториз С.Р.Л. ;1 754;/product/geptral-04-n5-flak-liofil-dr-ra-vv-vm-5e326e5af5a9ae000140b27a/
ОМЕПРАЗОЛ;ПРОИЗВОДСТВО МЕДИКАМЕНТОВ, ООО ;30;/product/omeprazol-002-n30-kaps-5e3266e4ca7bdc000192c123/
ГЕПТРАЛ;ЭббВи С.р.Л. ;1 623;/product/geptral-04-n20-tabl-pkishechnorastvorobolochkoj-5e32724065b5ab0001655dde/
Набор Компливит №60 + КомпливитСуперЭнергия с Женьшенем - со скидкой 20%;КОМПЛИВИТ ;457;/product/61556531d3123dd37d235086/
Набор Витамины для всей семьи от КОМПЛИВИТ  - со скидкой 20%;КОМПЛИВИТ ;368;/product/615550613b0afc01bb0a9d11/
Набор Витамины для всей семьи от КОМПЛИВИТ. Выгодное предложение!;КОМПЛИВИТ ;368;/product/61554ffbfe0f21922126ba04/
Набор: скидка 15% на  Компливит Аква Д3 20 мл при заказе в комплекте с Арбидол 100мг №20;Фармстандарт-Лексредства ОАО ;784;/product/615567d86126e8b873b3abdd/
РЕДУКСИН;Биохимик АО ;2 245;/product/reduksin-00101585-n30-kaps-5e32721065b5ab0001655d04/
Набор: скидка 33% на Компливит Аква Д3 20 мл при заказе в комплекте с Компливит с пониж. содержанием сахара;КОМПЛИВИТ ;443;/product/61556739df762e5026d05060/
АКВАДЕТРИМ;ПОЛЬФАРМА Фармацевтический завод, АО Отдел Медана в Серадзе ;189;/product/akvadetrim-15000meml-10ml-flak-kapli-dvn-60f1200cc1503c6903f0694f/
Набор против насморка и боли в горле (Гексорал® и Тизин®);NoData;396;/product/612cb153081e53dcd69608b6/
СУГЛАТ;Астеллас Фарма Тех Ко. Лтд./Астеллас Фарма Юроп Б.В. ;2 184;/product/suglat-005-n30-tabl-pplenoboloch-5e327025ca7bdc0001930aa1/
Набор из 2-х упаковок Аципол капс.  по специальной цене;ЛЕККО  ЗАО ;720;/product/612dedf4ca44b7119951be7a/
НАБОР ДЮСПАТАЛИН 0,2 N30 КАПС ПРОЛОНГ  закажи 2 упаковки со скидкой 15%;NoData;977;/product/61556bc2db4def5190a9265c/
ТРЕКРЕЗАН;Фармпроект АО ;905;/product/trekrezan-02-n20-tabl-603cb501e84db7dc3ca70c1b/
Набор Витамины от КОМПЛИВИТ. Выгодное предложение!;КОМПЛИВИТ ;448;/product/615554ea7c49b809d6327037/
Противопростудный набор (Доктор Мом®, Гексорал®, Ринза®);NoData;867;/product/6153fe15fc19e84afe7bc66e/
АСКОРБИНОВАЯ К-ТА С ГЛЮКОЗОЙ;Фармстандарт-Уфимский витаминный завод,ОАО ;62;/product/askorbinovaya-k-ta-s-glyukozoj-01-n40-tabl-5e3270c165b5ab000165545a/
Противопростудный детский набор (Доктор Мом®, Тизин®, Гексорал®, Ринзасип®);NoData;1 021;/product/6153fd6199175270acf6e437/
ПОЛИДЕКСА С ФЕНИЛЭФРИНОМ;Софартекс ;469;/product/polideksa-s-fenilefrinom-15ml-naz-sprej-5e327976f5a9ae0001410a48/
ТАУФОН;Фармстандарт-УфаВИТА ОАО ;138;/product/taufon-4-10ml-flakkap-kapli-glaznye-indup-farmstandart-60c1e3f6a70001d1422844db/
СТЕЛФРИН СУПРА;Гротекс, ООО ;687;/product/stelfrin-supra-25-10ml-n1-flak-kapli-glaznye-5e32740d65b5ab00016568fa/
СУЛЬФАЦИЛ НАТРИЯ (АЛЬБУЦИД);ЛЕККО  ЗАО ;63;/product/sulfaczil-natriya-albuczid-20-10ml-flakkap-kapli-glaz-5e327a26f5a9ae000141104c/
ТАУРИН;ЛЕККО  ЗАО ;28;/product/taurin-4-10ml-n1-flakkap-gl-kapli-5e326bc8ca7bdc000192e96d/
НАБОР ДОРТИМОЛ АНТИГЛАУ ЭКО 0,02/МЛ+0,005/МЛ 5МЛ N1 ФЛАК КАПЛИ ГЛАЗНЫЕ + СУПЕРОПТИК N30 КАПС закажи со скидкой 10%;NoData;657;/product/615593bf921729be8b472dda/
ДОРЗОПТ;К.О.Ромфарм Компани С.Р.Л. ;302;/product/dorzopt-2-5ml-gl-kapli-flakkap-5e326d57f5a9ae000140aabf/
КАНДИБИОТИК;Гленмарк Фармасьютикалз Лтд ;406;/product/kandibiotik-5ml-ushnye-kapli-5e3266c265b5ab0001650530/
ЛЕВОМИЦЕТИН;ЛЕККО  ЗАО ;29;/product/levomiczetin-025-kapli-glaz-5ml-flakkap-5e326a57ca7bdc000192dcc8/
НАБОР БРИМ АНТИГЛАУ ЭКО 0,002/МЛ 5МЛ N1 ФЛАК КАПЛИ ГЛАЗНЫЕ + СУПЕРОПТИК N30 КАПС закажи со скидкой 10%;NoData;630;/product/61559473221bacad4c6d049c/
